ip,predicted_label,prob,defense_action
0,1,0.99997616,block_ip
1,1,0.99997616,block_ip
2,1,0.99997616,block_ip
3,1,0.99997616,block_ip
4,1,0.99997616,block_ip
5,1,0.99997616,block_ip
6,1,0.99997616,block_ip
7,1,0.99997616,block_ip
8,1,0.99997616,block_ip
9,1,0.9999732,block_ip
10,1,0.9999732,block_ip
11,1,0.9999732,block_ip
12,1,0.9999732,block_ip
13,1,0.9999732,block_ip
14,1,0.9999732,block_ip
15,1,0.99997616,block_ip
16,1,0.99997616,block_ip
17,1,0.99997616,block_ip
18,1,0.99997616,block_ip
19,1,0.99997616,block_ip
20,1,0.9999732,block_ip
21,1,0.9999732,block_ip
22,1,0.9999732,block_ip
23,1,0.9999732,block_ip
24,1,0.9999732,block_ip
25,1,0.9999732,block_ip
26,1,0.9999732,block_ip
27,1,0.9999732,block_ip
28,1,0.99997616,block_ip
29,1,0.99997616,block_ip
30,1,0.9999732,block_ip
31,1,0.9999732,block_ip
32,1,0.9999732,block_ip
33,1,0.9999732,block_ip
34,1,0.99997616,block_ip
35,1,0.99997616,block_ip
36,1,0.99997616,block_ip
37,1,0.99997616,block_ip
38,1,0.99997616,block_ip
39,1,0.9999732,block_ip
40,1,0.9999732,block_ip
41,1,0.9999732,block_ip
42,1,0.99997616,block_ip
43,1,0.99997616,block_ip
44,1,0.99997616,block_ip
45,1,0.99997616,block_ip
46,1,0.99997616,block_ip
47,1,0.99997616,block_ip
48,1,0.99997616,block_ip
49,1,0.99997616,block_ip
50,1,0.99997616,block_ip
51,1,0.9999732,block_ip
52,1,0.99997616,block_ip
53,1,0.9999732,block_ip
54,1,0.9999732,block_ip
55,1,0.99997616,block_ip
56,1,0.99997616,block_ip
57,1,0.9999732,block_ip
58,1,0.9999732,block_ip
59,1,0.99997616,block_ip
60,1,0.99997616,block_ip
61,1,0.99997616,block_ip
62,1,0.99997616,block_ip
63,1,0.99997616,block_ip
64,1,0.99997616,block_ip
65,1,0.99997616,block_ip
66,1,0.99997616,block_ip
67,1,0.99997616,block_ip
68,1,0.99997616,block_ip
69,1,0.99997616,block_ip
70,1,0.99997616,block_ip
71,1,0.99997616,block_ip
72,1,0.99997616,block_ip
73,1,0.99997616,block_ip
74,1,0.99997616,block_ip
75,1,0.99997616,block_ip
76,1,0.99997616,block_ip
77,1,0.99997616,block_ip
78,1,0.99997616,block_ip
79,1,0.99997616,block_ip
80,1,0.99997616,block_ip
81,1,0.99997616,block_ip
82,1,0.99997616,block_ip
83,1,0.99997616,block_ip
84,1,0.99997616,block_ip
85,1,0.99997616,block_ip
86,1,0.99997616,block_ip
87,1,0.99997616,block_ip
88,1,0.99997616,block_ip
89,1,0.99997616,block_ip
90,1,0.99997616,block_ip
91,1,0.99997616,block_ip
92,1,0.99997616,block_ip
93,1,0.99997616,block_ip
94,1,0.99997616,block_ip
95,1,0.99997616,block_ip
96,1,0.99997616,block_ip
97,1,0.99997616,block_ip
98,1,0.99997616,block_ip
99,1,0.99997616,block_ip
